0<=x<30; y0=61+0.633333x; interpolation
30<=x<60; y1=98+-0.6x; interpolation
60<=x<90; y2=20+0.7x; interpolation
90<=x<120; y3=128+-0.5x; interpolation
120<=x<150; y4=12+0.466667x; interpolation
150<=x<180; y5=112+-0.2x; interpolation
180<=x<210; y6=34+0.233333x; interpolation
210<=x<240; y7=146+-0.3x; interpolation
240<=x<270; y8=2+0.3x; interpolation
270<=x<300; y9=137+-0.2x; interpolation
300<=x<330; y10=197+-0.4x; interpolation
330<=x<360; y11=-78+0.433333x; interpolation
360<=x<390; y12=222+-0.4x; interpolation
390<=x<420; y13=79+-0.0333333x; interpolation
420<=x<450; y14=-215+0.666667x; interpolation
450<=x<480; y15=85+0x; interpolation
480<=x<510; y16=389+-0.633333x; interpolation
510<=x<540; y17=151+-0.166667x; interpolation
540<=x<570; y18=-353+0.766667x; interpolation
570<=x<600; y19=445+-0.633333x; interpolation
600<=x<630; y20=45+0.0333333x; interpolation
630<=x<660; y21=87+-0.0333333x; interpolation
660<=x<690; y22=-375+0.666667x; interpolation
690<=x<720; y23=85+0x; interpolation
720<=x<750; y24=541+-0.633333x; interpolation
750<=x<780; y25=-434+0.666667x; interpolation
780<=x<810; y26=86+0x; interpolation
810<=x<840; y27=167+-0.1x; interpolation
840<=x<870; y28=-1+0.1x; interpolation
870<=x<900; y29=86+0x; interpolation
900<=x<930; y30=56+0.0333333x; interpolation
930<=x<960; y31=118+-0.0333333x; interpolation
960<=x<990; y32=246+-0.166667x; interpolation
990<=x<1020; y33=-51+0.133333x; interpolation
1020<=x<1050; y34=731+-0.633333x; interpolation
1050<=x<1080; y35=101+-0.0333333x; interpolation
1080<=x<1110; y36=-619+0.633333x; interpolation
1110<=x<1140; y37=84+0x; interpolation
1140<=x<1170; y38=160+-0.0666667x; interpolation
1170<=x<1200; y39=121+-0.0333333x; interpolation
1200<=x<1230; y40=1+0.0666667x; interpolation
1230<=x<1260; y41=42+0.0333333x; interpolation
1260<=x<1290; y42=-42+0.1x; interpolation
1290<=x<1320; y43=302+-0.166667x; interpolation
1320<=x<1350; y44=1006+-0.7x; interpolation
1350<=x<1380; y45=-29+0.0666667x; interpolation
1380<=x<1410; y46=-121+0.133333x; interpolation
1410<=x<1440; y47=-685+0.533333x; interpolation
1440<=x<1470; y48=-13+0.0666667x; interpolation
1470<=x<1500; y49=-13+0.0666667x; interpolation
1500<=x<1530; y50=437+-0.233333x; interpolation
1530<=x<1560; y51=845+-0.5x; interpolation
1560<=x<1590; y52=-871+0.6x; interpolation
1590<=x<1620; y53=-23+0.0666667x; interpolation
1620<=x<1650; y54=85+0x; interpolation
1650<=x<1680; y55=1185+-0.666667x; interpolation
1680<=x<1710; y56=-999+0.633333x; interpolation
1710<=x<1740; y57=1167+-0.633333x; interpolation
1740<=x<1770; y58=-109+0.1x; interpolation
1770<=x<1800; y59=245+-0.1x; interpolation
1800<=x<1830; y60=-1015+0.6x; interpolation
1830<=x<1860; y61=1181+-0.6x; interpolation
1860<=x<1890; y62=3+0.0333333x; interpolation
1890<=x<1920; y63=-1194+0.666667x; interpolation
1920<=x<1950; y64=1238+-0.6x; interpolation
1950<=x<1980; y65=328+-0.133333x; interpolation
1980<=x<2010; y66=-134+0.1x; interpolation
2010<=x<2040; y67=134+-0.0333333x; interpolation
2040<=x<2070; y68=66+0x; interpolation
2070<=x<2100; y69=-1314+0.666667x; interpolation
2100<=x<2130; y70=646+-0.266667x; interpolation
2130<=x<2160; y71=3628+-1.66667x; interpolation
2160<=x<2190; y72=172+-0.0666667x; interpolation
2190<=x<2220; y73=-4062+1.86667x; interpolation
2220<=x<2250; y74=1192+-0.5x; interpolation
2250<=x<2280; y75=-1208+0.566667x; interpolation
2280<=x<2310; y76=1452+-0.6x; interpolation
2310<=x<2340; y77=-1397+0.633333x; interpolation
2340<=x<2370; y78=-71+0.0666667x; interpolation
2370<=x<2400; y79=1825+-0.733333x; interpolation
2400<=x<2430; y80=-1535+0.666667x; interpolation
2430<=x<2460; y81=247+-0.0666667x; interpolation
2460<=x<2490; y82=1395+-0.533333x; interpolation
2490<=x<2520; y83=150+-0.0333333x; interpolation
2520<=x<2550; y84=-18+0.0333333x; interpolation
2550<=x<2580; y85=-1463+0.6x; interpolation
2580<=x<2610; y86=-87+0.0666667x; interpolation
2610<=x<2640; y87=2088+-0.766667x; interpolation
2640<=x<2670; y88=-288+0.133333x; interpolation
2670<=x<2700; y89=-1534+0.6x; interpolation
2700<=x<2730; y90=266+-0.0666667x; interpolation
2730<=x<2760; y91=-7+0.0333333x; interpolation
2760<=x<2790; y92=269+-0.0666667x; interpolation
2790<=x<2820; y93=1664+-0.566667x; interpolation
2820<=x<2850; y94=-122+0.0666667x; interpolation
2850<=x<2880; y95=-502+0.2x; interpolation
2880<=x<2910; y96=554+-0.166667x; interpolation
2910<=x<2940; y97=-1580+0.566667x; interpolation
2940<=x<2970; y98=576+-0.166667x; interpolation
2970<=x<3000; y99=-315+0.133333x; interpolation
3000<=x<3030; y100=285+-0.0666667x; interpolation
